StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode
cel-silverstone-01,Ethernet0,silverstone-fanout,Ethernet0,400000,100,Access
cel-silverstone-01,Ethernet4,silverstone-fanout,Ethernet4,400000,101,Access
cel-silverstone-01,Ethernet8,silverstone-fanout,Ethernet8,400000,102,Access
cel-silverstone-01,Ethernet12,silverstone-fanout,Ethernet12,400000,103,Access
cel-silverstone-01,Ethernet16,silverstone-fanout,Ethernet16,400000,104,Access
cel-silverstone-01,Ethernet20,silverstone-fanout,Ethernet20,400000,105,Access
cel-silverstone-01,Ethernet24,silverstone-fanout,Ethernet24,400000,106,Access
cel-silverstone-01,Ethernet28,silverstone-fanout,Ethernet28,400000,107,Access
cel-silverstone-01,Ethernet32,silverstone-fanout,Ethernet32,400000,108,Access
cel-silverstone-01,Ethernet36,silverstone-fanout,Ethernet36,400000,109,Access
cel-silverstone-01,Ethernet40,silverstone-fanout,Ethernet40,400000,110,Access
cel-silverstone-01,Ethernet44,silverstone-fanout,Ethernet44,400000,111,Access
cel-silverstone-01,Ethernet48,silverstone-fanout,Ethernet48,400000,112,Access
cel-silverstone-01,Ethernet52,silverstone-fanout,Ethernet52,400000,113,Access
cel-silverstone-01,Ethernet56,silverstone-fanout,Ethernet56,400000,114,Access
cel-silverstone-01,Ethernet60,silverstone-fanout,Ethernet60,400000,115,Access
cel-silverstone-01,Ethernet64,silverstone-fanout,Ethernet64,400000,116,Access
cel-silverstone-01,Ethernet68,silverstone-fanout,Ethernet68,400000,117,Access
cel-silverstone-01,Ethernet72,silverstone-fanout,Ethernet72,400000,118,Access
cel-silverstone-01,Ethernet76,silverstone-fanout,Ethernet76,400000,119,Access
cel-silverstone-01,Ethernet80,silverstone-fanout,Ethernet80,400000,120,Access
cel-silverstone-01,Ethernet84,silverstone-fanout,Ethernet84,400000,121,Access
cel-silverstone-01,Ethernet88,silverstone-fanout,Ethernet88,400000,122,Access
cel-silverstone-01,Ethernet92,silverstone-fanout,Ethernet92,400000,123,Access
cel-silverstone-01,Ethernet96,silverstone-fanout,Ethernet96,400000,124,Access
cel-silverstone-01,Ethernet100,silverstone-fanout,Ethernet100,400000,125,Access
cel-silverstone-01,Ethernet104,silverstone-fanout,Ethernet104,400000,126,Access
cel-silverstone-01,Ethernet108,silverstone-fanout,Ethernet108,400000,127,Access
cel-silverstone-01,Ethernet112,silverstone-fanout,Ethernet112,400000,128,Access
cel-silverstone-01,Ethernet116,silverstone-fanout,Ethernet116,400000,129,Access
cel-silverstone-01,Ethernet120,silverstone-fanout,Ethernet120,400000,130,Access
cel-seastone2-01,Ethernet0,seastone-fanout,Ethernet0,100000,100,Access
cel-seastone2-01,Ethernet4,seastone-fanout,Ethernet4,100000,101,Access
cel-seastone2-01,Ethernet8,seastone-fanout,Ethernet8,100000,102,Access
cel-seastone2-01,Ethernet12,seastone-fanout,Ethernet12,100000,103,Access
cel-seastone2-01,Ethernet16,seastone-fanout,Ethernet16,100000,104,Access
cel-seastone2-01,Ethernet20,seastone-fanout,Ethernet20,100000,105,Access
